frame,abstime,reltime,Function 1 [C]
642,30:55.7,641.449,1.62E+02
643,30:56.7,642.45,1.61E+02
644,30:57.7,643.45,1.60E+02
645,30:58.7,644.451,1.59E+02
646,30:59.7,645.452,1.59E+02
647,31:00.7,646.453,1.59E+02
648,31:01.7,647.454,1.58E+02
649,31:02.7,648.454,1.58E+02
650,31:03.7,649.455,1.57E+02
651,31:04.7,650.456,1.57E+02
652,31:05.7,651.457,1.57E+02
653,31:06.7,652.458,1.56E+02
654,31:07.7,653.459,1.56E+02
655,31:08.7,654.427,1.55E+02
656,31:09.7,655.427,1.54E+02
657,31:10.7,656.429,1.54E+02
658,31:11.7,657.43,1.53E+02
659,31:12.7,658.431,1.53E+02
660,31:13.7,659.432,1.53E+02
661,31:14.7,660.432,1.52E+02
662,31:15.7,661.433,1.52E+02
663,31:16.7,662.433,1.52E+02
664,31:17.7,663.434,1.50E+02
665,31:18.7,664.435,1.49E+02
666,31:19.7,665.437,1.49E+02
667,31:20.7,666.436,1.48E+02
668,31:21.7,667.438,1.48E+02
669,31:22.7,668.44,1.48E+02
670,31:23.7,669.441,1.47E+02
671,31:24.7,670.441,1.47E+02
672,31:25.7,671.442,1.46E+02
673,31:26.7,672.443,1.46E+02
674,31:27.7,673.444,1.45E+02
675,31:27.8,673.541,1.46E+02
676,31:29.7,675.413,1.46E+02
677,31:30.7,676.413,1.46E+02
678,31:31.7,677.414,1.45E+02
679,31:32.7,678.416,1.44E+02
680,31:33.7,679.416,1.44E+02
681,31:34.7,680.416,1.44E+02
682,31:35.7,681.417,1.43E+02
683,31:36.7,682.419,1.43E+02
684,31:37.7,683.42,1.42E+02
685,31:38.7,684.421,1.42E+02
688,31:41.6,687.39,1.40E+02
689,31:42.6,688.39,1.41E+02
690,31:43.6,689.392,1.40E+02
691,31:44.6,690.392,1.40E+02
701,31:54.6,700.402,2.18E+02
702,31:55.6,701.403,2.17E+02
703,31:56.6,702.404,2.14E+02
704,31:57.6,703.404,2.11E+02
705,31:58.6,704.405,2.08E+02
706,31:59.6,705.406,2.06E+02
707,32:00.7,706.407,2.06E+02
708,32:01.7,707.408,2.04E+02
709,32:02.7,708.408,2.02E+02
710,32:03.7,709.409,2.02E+02
711,32:04.7,710.41,2.01E+02
712,32:05.7,711.41,2.00E+02
713,32:06.7,712.412,1.99E+02
714,32:07.7,713.413,1.97E+02
715,32:08.7,714.413,1.96E+02
716,32:09.7,715.416,1.95E+02
717,32:10.6,716.382,1.94E+02
718,32:11.6,717.383,1.93E+02
719,32:12.6,718.384,1.92E+02
720,32:13.6,719.385,1.91E+02
721,32:13.7,719.482,1.91E+02
722,32:15.6,721.354,1.90E+02
723,32:16.6,722.356,1.89E+02
724,32:17.6,723.356,1.89E+02
725,32:18.6,724.357,1.88E+02
726,32:19.6,725.358,1.87E+02
727,32:20.6,726.358,1.87E+02
728,32:21.6,727.359,1.86E+02
729,32:22.6,728.36,1.85E+02
730,32:23.6,729.362,1.85E+02
731,32:24.6,730.363,1.84E+02
732,32:25.6,731.363,1.84E+02
733,32:26.6,732.364,1.83E+02
734,32:27.6,733.365,1.82E+02
735,32:28.6,734.366,1.81E+02
736,32:29.6,735.366,1.80E+02
737,32:30.6,736.367,1.80E+02
738,32:31.6,737.368,1.79E+02
739,32:32.6,738.37,1.79E+02
740,32:33.6,739.371,1.78E+02
741,32:34.6,740.371,1.77E+02
742,32:35.6,741.372,1.76E+02
743,32:36.6,742.372,1.75E+02
744,32:37.6,743.374,1.75E+02
745,32:38.6,744.375,1.74E+02
746,32:39.6,745.375,1.73E+02
747,32:40.6,746.377,1.73E+02
748,32:41.6,747.377,1.72E+02
749,32:42.6,748.345,1.72E+02
750,32:43.6,749.346,1.71E+02
751,32:44.6,750.347,1.71E+02
752,32:45.6,751.348,1.70E+02
753,32:46.6,752.349,1.70E+02
754,32:47.6,753.35,1.69E+02
